Time,Open Interest (Contracts),Open Interest (Crypto),Open Interest (USD)
2024-07-18 16:00:00,3790984,37909.84,21430432.552
2024-07-18 20:00:00,3824300,38243,21714375.4
2024-07-19 00:00:00,3781740,37817.4,21623989.32
2024-07-19 04:00:00,3743198,37431.98,21437294.946
2024-07-19 08:00:00,3739830,37398.3,21257193.72
2024-07-19 12:00:00,3766341,37663.41,21588666.612
2024-07-19 16:00:00,3992252,39922.52,23614170.58
2024-07-19 20:00:00,3930616,39306.16,23410748.896
2024-07-20 00:00:00,3933524,39335.24,23345464.94
2024-07-20 04:00:00,3773517,37735.17,22293938.436
2024-07-20 08:00:00,3787990,37879.9,22345353.01
2024-07-20 12:00:00,3739000,37390,22071317
2024-07-20 16:00:00,3779441,37794.41,22483894.509
2024-07-20 20:00:00,3701327,37013.27,22045103.612
2024-07-21 00:00:00,3651709,36517.09,21647330.952
2024-07-21 04:00:00,3686805,36868.05,21958610.58
2024-07-21 08:00:00,3648892,36488.92,21612387.316
2024-07-21 12:00:00,3648823,36488.23,21681306.266
2024-07-21 16:00:00,3780019,37800.19,22634753.772
2024-07-21 20:00:00,3691757,36917.57,22058248.075
2024-07-22 00:00:00,3685488,36854.88,22194008.736
2024-07-22 04:00:00,3712116,37121.16,22302392.928
2024-07-22 08:00:00,3709006,37090.06,22035204.646
2024-07-22 12:00:00,3787402,37874.02,22735774.206
2024-07-22 16:00:00,3910164,39101.64,23152081.044
2024-07-22 20:00:00,3720480,37204.8,22144296.96
2024-07-23 00:00:00,3759227,37592.27,22100495.533
2024-07-23 04:00:00,3728252,37282.52,22004143.304
2024-07-23 08:00:00,3667683,36676.83,21250555.302
2024-07-23 12:00:00,3670236,36702.36,21456199.656
2024-07-23 16:00:00,3782643,37826.43,22143592.122
2024-07-23 20:00:00,3764118,37641.18,21854469.108
2024-07-24 00:00:00,3761309,37613.09,21887057.071
2024-07-24 04:00:00,3815492,38154.92,22316812.708
2024-07-24 08:00:00,3778202,37782.02,22136485.518
2024-07-24 12:00:00,3826226,38262.26,22326028.71
2024-07-24 16:00:00,3737226,37372.26,21806713.71
2024-07-24 20:00:00,3696979,36969.79,21416599.347
2024-07-25 00:00:00,3623161,36231.61,20825929.428
2024-07-25 04:00:00,3664513,36645.13,20404008.384
2024-07-25 08:00:00,3756241,37562.41,21095049.456
2024-07-25 12:00:00,3799511,37995.11,21448239.595
2024-07-25 16:00:00,3722976,37229.76,21027368.448
2024-07-25 20:00:00,3808737,38087.37,21557451.42
2024-07-26 00:00:00,3747245,37472.45,21381779.97
2024-07-26 04:00:00,3714598,37145.98,21496378.626
2024-07-26 08:00:00,3715214,37152.14,21518519.488
2024-07-26 12:00:00,3712546,37125.46,21439953.15
2024-07-26 16:00:00,3735573,37355.73,21614025.378
2024-07-26 20:00:00,3649094,36490.94,21172043.388
2024-07-27 00:00:00,3635508,36355.08,21115030.464
2024-07-27 04:00:00,3703498,37034.98,21598800.336
2024-07-27 08:00:00,3666779,36667.79,21527659.509
2024-07-27 12:00:00,3643322,36433.22,21389943.462
2024-07-27 16:00:00,3572896,35728.96,20912160.288
2024-07-27 20:00:00,3623293,36232.93,21185394.171
2024-07-28 00:00:00,3604550,36045.5,20949644.6
2024-07-28 04:00:00,3583073,35830.73,20803321.838
2024-07-28 08:00:00,3563132,35631.32,20623408.016
2024-07-28 12:00:00,3562845,35628.45,20728632.21
2024-07-28 16:00:00,3580394,35803.94,20784187.17
2024-07-28 20:00:00,3577713,35777.13,20893843.92
2024-07-29 00:00:00,3585528,35855.28,20939483.52
2024-07-29 04:00:00,3606498,36064.98,21361287.654
2024-07-29 08:00:00,3626752,36267.52,21532026.624
2024-07-29 12:00:00,3650922,36509.22,21639014.694
2024-07-29 16:00:00,3577173,35771.73,20844187.071
2024-07-29 20:00:00,3618276,36182.76,20902780.452
2024-07-30 00:00:00,3593751,35937.51,20642505.744
2024-07-30 04:00:00,3698260,36982.6,21179935.02
