Time,Open Interest (Contracts),Open Interest (Crypto),Open Interest (USD)
2024-07-18 15:00:00,2678680.30000000171,26786.8030000000171,1712941048.80160109349712
2024-07-18 16:00:00,2709795.90000000123,27097.9590000000123,1722489893.22270078185319
2024-07-18 17:00:00,2711193.50000000083,27111.9350000000083,1732393000.24300053035174
2024-07-18 18:00:00,2692404.20000000171,26924.0420000000171,1711957133.35740108729837
2024-07-18 19:00:00,2714467.40000000193,27144.6740000000193,1725063033.97180122652851
2024-07-18 20:00:00,2690211.20000000167,26902.1120000000167,1709424761.54880106115808
2024-07-18 21:00:00,2688610.40000000159,26886.1040000000159,1715771678.69520101467917
2024-07-18 22:00:00,2686163.40000000091,26861.6340000000091,1715061607.6320005810168
2024-07-18 23:00:00,2687130.20000000143,26871.3020000000143,1719997108.32740091532441
2024-07-19 00:00:00,2687161.90000000138,26871.6190000000138,1719133322.82020088286604
2024-07-19 01:00:00,2661079.80000000104,26610.7980000000104,1692156695.10180066132664
2024-07-19 02:00:00,2673459.7000000026,26734.597000000026,1706201980.54000165932
2024-07-19 03:00:00,2679182.60000000165,26791.8260000000165,1709706980.27700105293925
2024-07-19 04:00:00,2646950.60000000248,26469.5060000000248,1702468333.85860159508888
2024-07-19 05:00:00,2670908.70000000235,26709.0870000000235,1713711111.00270150780935
2024-07-19 06:00:00,2667792.30000000238,26677.9230000000238,1712042369.5635015273531
2024-07-19 07:00:00,2664877.0000000033,26648.770000000033,1711058894.4060021188574
2024-07-19 08:00:00,2678951.50000000249,26789.5150000000249,1706867158.7100015864786
2024-07-19 09:00:00,2687674.60000000254,26876.7460000000254,1714830463.4110016206089
2024-07-19 10:00:00,2690592.30000000161,26905.9230000000161,1715101918.08120102628484
2024-07-19 11:00:00,2698026.10000000159,26980.2610000000159,1727362646.05520101796888
2024-07-19 12:00:00,2703982.5000000024,27039.825000000024,1733523180.75000153864
2024-07-19 13:00:00,2687956.80000000172,26879.5680000000172,1731982276.12320110828028
2024-07-19 14:00:00,2656924.80000000262,26569.2480000000262,1731863292.3840017077946
2024-07-19 15:00:00,2812814.79999999967,28128.1479999999967,1849425730.999999783025
2024-07-19 16:00:00,2822803.49999999996,28228.0349999999996,1857912807.6299999736728
2024-07-19 17:00:00,2889477.80000000172,28894.7780000000172,1918731727.78980114215052
2024-07-19 18:00:00,2907238.40000000177,29072.3840000000177,1941195059.30240118184847
2024-07-19 19:00:00,2943715.30000000104,29437.1530000000104,1966110392.58530069461704
2024-07-19 20:00:00,2983073.6999999985,29830.736999999985,2005866485.059198991376
2024-07-19 21:00:00,2974938.7999999989,29749.387999999989,1991424032.71999926366
2024-07-19 22:00:00,2950447.1999999996,29504.471999999996,1974123568.3895997323628
2024-07-19 23:00:00,2951632.7999999989,29516.327999999989,1968644625.3503992663352
2024-07-20 00:00:00,2969690.59999999905,29696.9059999999905,1979833329.207999366654
2024-07-20 01:00:00,2982176.89999999947,29821.7689999999947,1981277813.58369964788231
2024-07-20 02:00:00,2970483.19999999872,29704.8319999999872,1971343352.78079915053568
2024-07-20 03:00:00,2960744.39999999848,29607.4439999999848,1971387972.78479898792016
2024-07-20 04:00:00,2962607.69999999798,29626.0769999999798,1973369288.10839865449416
2024-07-20 05:00:00,2958035.39999999778,29580.3539999999778,1972051208.33039851997928
2024-07-20 06:00:00,2950594.89999999803,29505.9489999999803,1963974977.3379986887286
2024-07-20 07:00:00,2962573.99999999794,29625.7399999999794,1974203024.69399862725514
2024-07-20 08:00:00,2950147.99999999885,29501.4799999999885,1963913523.599999234445
2024-07-20 09:00:00,2954543.89999999773,29545.4389999999773,1965253284.15569849007999
2024-07-20 10:00:00,2952994.89999999781,29529.9489999999781,1966567624.61929854155417
2024-07-20 11:00:00,2948301.59999999888,29483.0159999999888,1961891281.98959925471728
2024-07-20 12:00:00,2948559.1999999988,29485.591999999988,1960452783.691999202138
2024-07-20 13:00:00,2943318.29999999825,29433.1829999999825,1956800418.752398836551
2024-07-20 14:00:00,2940071.39999999817,29400.7139999999817,1956699838.69919878208376
2024-07-20 15:00:00,2936587.99999999805,29365.8799999999805,1955497441.9039987014794
2024-07-20 16:00:00,2923164.99999999903,29231.6499999999903,1953121464.24499935189159
2024-07-20 17:00:00,2901629.39999999878,29016.2939999999878,1938680159.1689991848753
2024-07-20 18:00:00,2871741.80000000028,28717.4180000000028,1934836037.75000018865
2024-07-20 19:00:00,2864521.90000000015,28645.2190000000015,1932624177.4044001012014
2024-07-20 20:00:00,2863073.49999999939,28630.7349999999939,1924918753.96099958988114
2024-07-20 21:00:00,2856312.80000000052,28563.1280000000052,1923358206.44880035015292
2024-07-20 22:00:00,2843378.10000000072,28433.7810000000072,1907801500.11030048309336
2024-07-20 23:00:00,2846990.30000000034,28469.9030000000034,1910672130.1360002281808
2024-07-21 00:00:00,2854974.09999999943,28549.7409999999943,1916958084.57449961727635
2024-07-21 01:00:00,2860997.79999999951,28609.9779999999951,1919048606.32359967132662
2024-07-21 02:00:00,2860701.49999999878,28607.0149999999878,1924682829.90149917918278
2024-07-21 03:00:00,2867602.79999999943,28676.0279999999943,1929357575.07359961649716
2024-07-21 04:00:00,2867641.99999999954,28676.4199999999954,1926289763.58599969100282
2024-07-21 05:00:00,2876173.39999999981,28761.7339999999981,1928563426.07539987259911
2024-07-21 06:00:00,2881970.79999999886,28819.7079999999886,1932502637.96919923557414
2024-07-21 07:00:00,2904822.4999999989,29048.224999999989,1938327052.9774992659931
2024-07-21 08:00:00,2910372.9999999992,29103.729999999992,1941434158.6019994663408
2024-07-21 09:00:00,2912334.30000000021,29123.3430000000021,1945622789.46090014029323
2024-07-21 10:00:00,2899760.80000000036,28997.6080000000036,1942526561.83360024116112
2024-07-21 11:00:00,2899080.69999999901,28990.8069999999901,1936585907.59999933868
2024-07-21 12:00:00,2896282.59999999941,28962.8259999999941,1937224957.53159960536906
2024-07-21 13:00:00,2909878.00000000036,29098.7800000000036,1947953809.78400024099408
2024-07-21 14:00:00,2908434.49999999943,29084.3449999999943,1941612703.5099996194794
2024-07-21 15:00:00,2918357.09999999734,29183.5709999999734,1963712880.51929821013122
2024-07-21 16:00:00,2917337.99999999841,29173.3799999999841,1959400894.3199989320924
2024-07-21 17:00:00,2908188.9999999994,29081.889999999994,1964481669.4999995947
2024-07-21 18:00:00,2868571.89999999738,28685.7189999999738,1911699502.74509825395602
2024-07-21 19:00:00,2796754.90000000107,27967.5490000000107,1870245936.7280007155304
2024-07-21 20:00:00,2778015.0999999987,27780.150999999987,1873404486.9567991233216
2024-07-21 21:00:00,2731531.99999999962,27315.3199999999962,1849613189.28799974268908
2024-07-21 22:00:00,2721079.89999999982,27210.7989999999982,1855776491.79999987724
2024-07-21 23:00:00,2728550.39999999918,27285.5039999999918,1855733512.39679944230406
2024-07-22 00:00:00,2732018.89999999976,27320.1889999999976,1862425480.18669983639128
2024-07-22 01:00:00,2770098.4999999993,27700.984999999993,1888780581.8309995227078
2024-07-22 02:00:00,2773334.50000000011,27733.3450000000011,1881851671.64400007464072
2024-07-22 03:00:00,2773011.49999999867,27730.1149999999867,1887533467.8199990946956
2024-07-22 04:00:00,2787274.89999999854,27872.7489999999854,1892144353.13989900887754
2024-07-22 05:00:00,2795354.19999999914,27953.5419999999914,1899216755.20979941569966
2024-07-22 06:00:00,2814950.39999999849,28149.5039999999849,1904201347.5839989785454
2024-07-22 07:00:00,2796058.9000000008,27960.589000000008,1885086134.0266005393552
2024-07-22 08:00:00,2779150.19999999989,27791.5019999999989,1868622778.27439992603908
2024-07-22 09:00:00,2777432.49999999995,27774.3249999999995,1863382241.68249996645495
2024-07-22 10:00:00,2758814.30000000088,27588.1430000000088,1860108471.26060059333296
2024-07-22 11:00:00,2761483.3000000007,27614.833000000007,1861789279.3767004719393
2024-07-22 12:00:00,2772896.80000000041,27728.9680000000041,1872811725.82320027691359
2024-07-22 13:00:00,2768439.60000000166,27684.3960000000166,1873403077.320001123322
2024-07-22 14:00:00,2740018.79999999966,27400.1879999999966,1839103358.57879977179166
2024-07-22 15:00:00,2783865.80000000096,27838.6580000000096,1856560102.020000640224
2024-07-22 16:00:00,2785675.60000000025,27856.7560000000025,1868374910.324800167677
2024-07-22 17:00:00,2772992.90000000107,27729.9290000000107,1858789827.73510071724133
2024-07-22 18:00:00,2761152.60000000169,27611.5260000000169,1862949659.220001140243
2024-07-22 19:00:00,2751643.00000000087,27516.4300000000087,1856131792.22200058686198
2024-07-22 20:00:00,2711524.70000000066,27115.2470000000066,1849674708.67910045022098
2024-07-22 21:00:00,2675858.50000000136,26758.5850000000136,1822580741.5200009263232
2024-07-22 22:00:00,2655329.00000000176,26553.2900000000176,1800522832.99100119341904
2024-07-22 23:00:00,2653917.50000000247,26539.1750000000247,1795555655.14000167112296
2024-07-23 00:00:00,2667768.60000000166,26677.6860000000166,1802621914.09440112166864
2024-07-23 01:00:00,2672683.80000000043,26726.8380000000043,1804310124.59340029028999
2024-07-23 02:00:00,2680419.99999999903,26804.1999999999903,1806989060.47999934608032
2024-07-23 03:00:00,2674705.59999999999,26747.0559999999999,1809387518.99359999323519
2024-07-23 04:00:00,2679954.30000000073,26799.5430000000073,1808143726.57560049252516
2024-07-23 05:00:00,2699376.5000000012,26993.765000000012,1807607780.0835008035668
2024-07-23 06:00:00,2708608.50000000028,27086.0850000000028,1799602196.00850018603228
2024-07-23 07:00:00,2739733.60000000014,27397.3360000000014,1823909150.8600000932015
2024-07-23 08:00:00,2738233.59999999905,27382.3359999999905,1822434110.71359936772655
2024-07-23 09:00:00,2728587.40000000047,27285.8740000000047,1824382650.21320031425046
2024-07-23 10:00:00,2747459.10000000117,27474.5910000000117,1839275504.65860078325182
2024-07-23 11:00:00,2747117.6000000015,27471.176000000015,1837689812.755201003428
2024-07-23 12:00:00,2714209.50000000033,27142.0950000000033,1809856608.27600022004664
2024-07-23 13:00:00,2744092.30000000026,27440.9230000000026,1824876261.3460001729052
2024-07-23 14:00:00,2742008.99999999949,27420.0899999999949,1812421334.84699966289867
2024-07-23 15:00:00,2653147.40000000149,26531.4740000000149,1783281187.14120100148562
2024-07-23 16:00:00,2606876.20000000221,26068.7620000000221,1735673815.21720147143126
2024-07-23 17:00:00,2671647.90000000294,26716.4790000000294,1761350669.2725019382685
2024-07-23 18:00:00,2633973.30000000335,26339.7330000000335,1736333637.17310220834345
2024-07-23 19:00:00,2607667.8000000033,26076.678000000033,1717592549.826002173611
2024-07-23 20:00:00,2573973.00000000285,25739.7300000000285,1685437520.40000186618
2024-07-23 21:00:00,2503695.30000000306,25036.9530000000306,1649096464.7745020155149
2024-07-23 22:00:00,2506386.80000000345,25063.8680000000345,1651418160.3312022731498
2024-07-23 23:00:00,2502691.50000000317,25026.9150000000317,1649541486.49050208936919
2024-07-24 00:00:00,2489946.00000000307,24899.4600000000307,1641870392.400002024358
2024-07-24 01:00:00,2500273.9000000027,25002.739000000027,1644522654.1643017758899
2024-07-24 02:00:00,2495999.10000000207,24959.9910000000207,1639624304.78910135978507
2024-07-24 03:00:00,2477794.50000000254,24777.9450000000254,1632187659.80700167316404
2024-07-24 04:00:00,2479432.50000000192,24794.3250000000192,1637714754.9000012681984
2024-07-24 05:00:00,2480389.50000000218,24803.8950000000218,1633651495.21650143580686
2024-07-24 06:00:00,2482804.90000000237,24828.0490000000237,1634256669.3270015600051
2024-07-24 07:00:00,2497230.70000000179,24972.3070000000179,1645535186.38080117950976
2024-07-24 08:00:00,2495159.40000000154,24951.5940000000154,1648302299.640001017324
2024-07-24 09:00:00,2508285.90000000194,25082.8590000000194,1666254323.370001288742
2024-07-24 10:00:00,2545759.50000000079,25457.5950000000079,1690127186.29050052448021
2024-07-24 11:00:00,2547040.40000000181,25470.4040000000181,1693180764.46560120322284
2024-07-24 12:00:00,2541387.10000000228,25413.8710000000228,1686487352.04390151302852
2024-07-24 13:00:00,2536252.70000000165,25362.5270000000165,1679706901.90330109276035
2024-07-24 14:00:00,2556439.50000000052,25564.3950000000052,1695522708.22200034488272
2024-07-24 15:00:00,2569629.00000000211,25696.2900000000211,1716278335.76100140928799
2024-07-24 16:00:00,2519135.60000000053,25191.3560000000053,1668426027.01560035101953
2024-07-24 17:00:00,2478734.20000000106,24787.3420000000106,1645879508.80000070384
2024-07-24 18:00:00,2490425.70000000195,24904.2570000000195,1658421791.71830129854205
2024-07-24 19:00:00,2479245.80000000153,24792.4580000000153,1629732226.6300010057455
2024-07-24 20:00:00,2485550.7000000018,24855.507000000018,1632976983.2916011825784
2024-07-24 21:00:00,2475145.60000000184,24751.4560000000184,1634492098.70720121506608
2024-07-24 22:00:00,2417146.50000000217,24171.4650000000217,1587434375.26350142512363
2024-07-24 23:00:00,2407168.70000000274,24071.6870000000274,1572218164.7180017896036
2024-07-25 00:00:00,2416918.70000000303,24169.1870000000303,1580565736.13330198149577
2024-07-25 01:00:00,2425907.50000000243,24259.0750000000243,1589702036.56500159238386
2024-07-25 02:00:00,2315568.80000000287,23155.6880000000287,1492629541.89280185001922
2024-07-25 03:00:00,2338661.70000000362,23386.6170000000362,1501851125.15280232470608
2024-07-25 04:00:00,2371771.20000000369,23717.7120000000369,1520521170.37920236562579
2024-07-25 05:00:00,2366557.20000000363,23665.5720000000363,1519613709.2640023308956
2024-07-25 06:00:00,2387244.50000000314,23872.4450000000314,1534284427.39450201808114
2024-07-25 07:00:00,2389904.10000000284,23899.0410000000284,1537042922.8740018265176
2024-07-25 08:00:00,2401253.9000000031,24012.539000000031,1539203749.9000019871
2024-07-25 09:00:00,2400715.60000000299,24007.1560000000299,1544718846.37960192388859
2024-07-25 10:00:00,2406361.00000000266,24063.6100000000266,1547292529.36100171038266
2024-07-25 11:00:00,2409387.00000000236,24093.8700000000236,1545865108.58700151417836
2024-07-25 12:00:00,2416384.90000000211,24163.8490000000211,1549096031.6920013526788
2024-07-25 13:00:00,2428974.10000000244,24289.7410000000244,1556969969.12590156403756
2024-07-25 14:00:00,2467262.50000000219,24672.6250000000219,1579790646.01250140225919
2024-07-25 15:00:00,2507101.39999999975,25071.0139999999975,1623954875.0387998380645
2024-07-25 16:00:00,2509666.10000000034,25096.6610000000034,1624790458.79930022012042
2024-07-25 17:00:00,2503367.40000000075,25033.6740000000075,1623661565.33340048644325
2024-07-25 18:00:00,2501654.60000000139,25016.5460000000139,1626948567.45540090398511
2024-07-25 19:00:00,2465404.60000000111,24654.0460000000111,1591941335.07520071674032
2024-07-25 20:00:00,2432265.40000000222,24322.6540000000222,1573094402.36940143580942
2024-07-25 21:00:00,2388671.40000000184,23886.7140000000184,1559088211.45140120096984
2024-07-25 22:00:00,2346255.40000000354,23462.5540000000354,1544582162.41720233044572
2024-07-25 23:00:00,2380087.20000000379,23800.8720000000379,1562570088.36960248820322
2024-07-26 00:00:00,2368592.80000000459,23685.9280000000459,1558531693.80720302021541
2024-07-26 01:00:00,2399424.9000000043,23994.249000000043,1593659627.7816028559912
2024-07-26 02:00:00,2427423.4000000037,24274.234000000037,1612474251.6116024578138
2024-07-26 03:00:00,2414801.40000000293,24148.0140000000293,1617733413.09360196287732
2024-07-26 04:00:00,2382426.10000000236,23824.2610000000236,1597397640.64120158236112
2024-07-26 05:00:00,2399192.40000000408,23991.9240000000408,1609519814.27160273710472
2024-07-26 06:00:00,2376864.60000000422,23768.6460000000422,1590978088.6560028246992
2024-07-26 07:00:00,2387666.50000000388,23876.6650000000388,1601551181.5400026025488
2024-07-26 08:00:00,2386988.80000000438,23869.8880000000438,1597131819.09120293065362
2024-07-26 09:00:00,2395503.60000000474,23955.0360000000474,1607531436.82320318083388
2024-07-26 10:00:00,2466203.80000000384,24662.0380000000384,1660105358.33960258486528
2024-07-26 11:00:00,2535002.70000000313,25350.0270000000313,1706424392.49150210694385
2024-07-26 12:00:00,2544975.50000000404,25449.7550000000404,1713544729.0275027201522
2024-07-26 13:00:00,2533369.50000000338,25333.6950000000338,1705304745.12150227520306
2024-07-26 14:00:00,2548158.60000000179,25481.5860000000179,1730406090.24660121555499
2024-07-26 15:00:00,2549638.60000000246,25496.3860000000246,1717033718.06120165666732
2024-07-26 16:00:00,2573316.90000000327,25733.1690000000327,1738728469.72440220946052
2024-07-26 17:00:00,2578228.70000000335,25782.2870000000335,1737767395.4592022579536
2024-07-26 18:00:00,2542255.40000000381,25422.5540000000381,1712618315.01940256664841
2024-07-26 19:00:00,2522882.30000000391,25228.8230000000391,1704025346.12440264092348
2024-07-26 20:00:00,2504038.70000000436,25040.3870000000436,1702746316.0000029648
2024-07-26 21:00:00,2525124.40000000341,25251.2440000000341,1703108028.44600229992565
2024-07-26 22:00:00,2530155.70000000373,25301.5570000000373,1719625381.81640253510196
2024-07-26 23:00:00,2524491.10000000446,25244.9110000000446,1714833789.91690302958434
2024-07-27 00:00:00,2520768.30000000422,25207.6830000000422,1711853752.530002865802
2024-07-27 01:00:00,2532998.70000000423,25329.9870000000423,1719500837.5080028714932
2024-07-27 02:00:00,2536742.90000000454,25367.4290000000454,1716304437.79620307166412
2024-07-27 03:00:00,2539959.20000000478,25399.5920000000478,1727329733.47040325069636
2024-07-27 04:00:00,2540709.70000000358,25407.0970000000358,1722578310.21270242720778
2024-07-27 05:00:00,2544975.5000000041,25449.755000000041,1727335951.2620027827684
2024-07-27 06:00:00,2546674.30000000434,25466.7430000000434,1728937182.270002946426
2024-07-27 07:00:00,2554112.80000000561,25541.1280000000561,1739322721.55920382034829
2024-07-27 08:00:00,2595968.60000000312,25959.6860000000312,1766683834.76140212331288
2024-07-27 09:00:00,2607869.50000000277,26078.6950000000277,1773891088.98650188417339
2024-07-27 10:00:00,2604925.5000000016,26049.255000000016,1777041102.217501091496
