Time,Open Interest (Contracts),Open Interest (Crypto),Open Interest (USD)
2024-08-02 00:00:00,2965726.90000000001,296572.690000000001,950390910.92020000320458
2024-08-02 04:00:00,2943759.79999999998,294375.979999999998,932783280.30639999366264
2024-08-02 08:00:00,3032208.60000000038,303220.860000000038,954772747.34220011965326
2024-08-02 12:00:00,3084716.40000000014,308471.640000000014,972919552.560000044156
2024-08-02 16:00:00,3169691.29999999873,316969.129999999873,963494234.15229961395683
2024-08-02 20:00:00,3194532.89999999914,319453.289999999914,962621376.88859974085276
2024-08-03 00:00:00,3195866.69999999802,319586.669999999802,955704761.43479940789288
2024-08-03 04:00:00,3122538.29999999844,312253.829999999844,930469575.3254995351434
2024-08-03 08:00:00,3124326.60000000012,312432.660000000012,932589619.81380003581916
2024-08-03 12:00:00,3106253.00000000031,310625.300000000031,931127293.02700009292529
2024-08-03 16:00:00,3109274.69999999986,310927.469999999986,913986844.4384999588463
2024-08-03 20:00:00,3138117.89999999904,313811.789999999904,908507098.87529972207328
2024-08-04 00:00:00,3076299.09999999935,307629.909999999935,893234206.675999811266
2024-08-04 04:00:00,3158788.99999999854,315878.899999999854,921402957.3549995741253
2024-08-04 08:00:00,3185710.8999999987,318571.08999999987,921648463.3462996239009
2024-08-04 12:00:00,3204004.09999999834,320400.409999999834,933963991.14589951611166
2024-08-04 16:00:00,3374258.09999999828,337425.809999999828,953973624.29009951371988
2024-08-04 20:00:00,3052116.10000000022,305211.610000000022,841657639.96820006066764
2024-08-05 00:00:00,3094368.50000000004,309436.850000000004,831648666.79700001075048
2024-08-05 04:00:00,2937812.29999999918,293781.229999999918,681084776.75819980989612
2024-08-05 08:00:00,2805677.30000000039,280567.730000000039,661054045.68490009188907
2024-08-05 12:00:00,2728489.20000000084,272848.920000000084,625473407.22960019255992
2024-08-05 16:00:00,2691715.6000000012,269171.56000000012,659152699.5592002938584
2024-08-05 20:00:00,2572154.8000000015,257215.48000000015,618580080.0068003607365
2024-08-06 00:00:00,2574922.50000000128,257492.250000000128,622629135.1125003095104
2024-08-06 04:00:00,2635189.20000000054,263518.920000000054,656633809.66680013455666
2024-08-06 08:00:00,2698596.09999999994,269859.609999999994,681260585.444999984853
2024-08-06 12:00:00,2706353.50000000153,270635.350000000153,665549159.07350037625913
2024-08-06 16:00:00,2740699.20000000005,274069.920000000005,692188249.25280001262795
2024-08-06 20:00:00,2771412.89999999971,277141.289999999971,691974687.11069992759193
2024-08-07 00:00:00,2794018.79999999984,279401.879999999984,687029664.78839996065712
2024-08-07 04:00:00,2840573.39999999882,284057.339999999882,711492622.3649997044395
2024-08-07 08:00:00,3003091.8999999988,300309.18999999988,753746035.980999698812
2024-08-07 12:00:00,2953161.19999999853,295316.119999999853,730635706.16959963631024
2024-08-07 16:00:00,3115529.59999999724,311552.959999999724,751119915.73439933459436
2024-08-07 20:00:00,3126203.99999999826,312620.399999999826,735523898.50799959061802
2024-08-08 00:00:00,3089434.89999999802,308943.489999999802,721954594.6064995373037
2024-08-08 04:00:00,3033161.19999999726,303316.119999999726,738905366.77079933251134
2024-08-08 08:00:00,3128481.29999999667,312848.129999999667,754689800.96159919669744
2024-08-08 12:00:00,3114652.69999999783,311465.269999999783,762594681.72069946869503
2024-08-08 16:00:00,3002696.59999999821,300269.659999999821,752740005.26079955126848
2024-08-08 20:00:00,2991158.99999999868,299115.899999999868,768135613.51799966102136
2024-08-09 00:00:00,2842271.20000000079,284227.120000000079,763098656.31840021210078
2024-08-09 04:00:00,2744395.80000000203,274439.580000000203,739889107.680000547288
2024-08-09 08:00:00,2819085.90000000074,281908.590000000074,752786146.04880019760368
2024-08-09 12:00:00,2776953.40000000015,277695.340000000015,732149317.8168000395478
2024-08-09 16:00:00,2694978.20000000043,269497.820000000043,689375423.560000109994
2024-08-09 20:00:00,2692409.90000000173,269240.990000000173,697353010.96930044808211
2024-08-10 00:00:00,2608626.90000000155,260862.690000000155,677849091.33810040276595
2024-08-10 04:00:00,2609423.70000000026,260942.370000000026,678956390.19780006765044
2024-08-10 08:00:00,2734101.70000000056,273410.170000000056,720249879.03440014752192
2024-08-10 12:00:00,2767542.90000000258,276754.290000000258,729706966.27140068025828
2024-08-10 16:00:00,2663248.79999999994,266324.879999999994,692119771.64639998440732
2024-08-10 20:00:00,2651997.19999999999,265199.719999999999,690383823.08719999739674
2024-08-11 00:00:00,2653600.19999999953,265360.019999999953,692671913.80619987731543
2024-08-11 04:00:00,2684619.19999999997,268461.919999999997,710524740.56799999206005
2024-08-11 08:00:00,2726571.00000000026,272657.100000000026,729903056.700000069602
2024-08-11 12:00:00,2754548.7000000006,275454.87000000006,731346452.593500159303
2024-08-11 16:00:00,2728179.20000000251,272817.920000000251,712976895.76960065595838
2024-08-11 20:00:00,2712009.30000000173,271200.930000000173,705556339.4880004500768
2024-08-12 00:00:00,2633019.10000000132,263301.910000000132,672475711.15910033712932
2024-08-12 04:00:00,2681773.20000000081,268177.320000000081,681489523.81080020583639
2024-08-12 08:00:00,2708563.4999999987,270856.34999999987,695903094.3644996659949
2024-08-12 12:00:00,2826172.10000000143,282617.210000000143,755071226.12910038205453
2024-08-12 16:00:00,2744653.80000000142,274465.380000000142,737908408.09140038177126
2024-08-12 20:00:00,2734043.90000000095,273404.390000000095,725998017.206000252263
2024-08-13 00:00:00,2771905.9000000003,277190.59000000003,754892537.0883000817011
2024-08-13 04:00:00,2701365.30000000106,270136.530000000106,717479922.31470028153494
2024-08-13 08:00:00,2751476.20000000051,275147.620000000051,728645927.2840001350582
2024-08-13 12:00:00,2716550.10000000055,271655.010000000055,718041238.98210014537655
2024-08-13 16:00:00,2696970.59999999945,269697.059999999945,715366057.7087998541136
2024-08-13 20:00:00,2662568.60000000099,266256.860000000099,722360186.31720026858898
2024-08-14 00:00:00,2671213.70000000113,267121.370000000113,722071802.52920030545708
2024-08-14 04:00:00,2799640.90000000085,279964.090000000085,758470313.70530023027945
2024-08-14 08:00:00,2885774.09999999774,288577.409999999774,787117971.96779938356692
2024-08-14 12:00:00,2905640.09999999836,290564.009999999836,799132385.42279954895408
2024-08-14 16:00:00,2851197.89999999894,285119.789999999894,762624158.3024997164765
2024-08-14 20:00:00,2847920.49999999921,284792.049999999921,760221050.34949978911819
2024-08-15 00:00:00,2835493.2999999989,283549.32999999989,754609831.928999707257
2024-08-15 04:00:00,2878032.29999999881,287803.229999999881,763435481.99489968433703
2024-08-15 08:00:00,2962121.49999999934,296212.149999999934,774316332.82899982747204
2024-08-15 12:00:00,2944534.70000000013,294453.470000000013,776656361.54140003428906
2024-08-15 16:00:00,2836808.70000000021,283680.870000000021,756891766.05570005603031
2024-08-15 20:00:00,2825320.19999999997,282532.019999999997,720589441.04939999234859
2024-08-16 00:00:00,2904545.69999999938,290454.569999999938,746270735.79239984070216
2024-08-16 04:00:00,2860204.19999999783,286020.419999999783,738047091.7679994400532
2024-08-16 08:00:00,2918074.49999999823,291807.449999999823,763715540.06549953675737
2024-08-16 12:00:00,2993755.89999999782,299375.589999999782,782130703.89859943046628
2024-08-16 16:00:00,2865692.499999999,286569.2499999999,736365479.107499743041
2024-08-16 20:00:00,2800944.09999999814,280094.409999999814,733819344.7589995126986
2024-08-17 00:00:00,2738095.09999999816,273809.509999999816,709971630.85939952289904
2024-08-17 04:00:00,2780541.9999999975,278054.19999999975,721647967.9699993511625
2024-08-17 08:00:00,2828673.89999999736,282867.389999999736,735531588.19529931352872
2024-08-17 12:00:00,2836467.19999999739,283646.719999999739,737197825.279999321661
2024-08-17 16:00:00,2801312.59999999759,280131.259999999759,730246168.5679993717612
2024-08-17 20:00:00,2818669.39999999784,281866.939999999784,736870647.894999435322
2024-08-18 00:00:00,2777232.99999999807,277723.299999999807,726152003.57799949537062
2024-08-18 04:00:00,2817919.59999999739,281791.959999999739,734628821.80039931957561
2024-08-18 08:00:00,2904924.89999999631,290492.489999999631,757549220.34689903771811
2024-08-18 12:00:00,2769998.29999999879,276999.829999999879,734002459.52889967937057
2024-08-18 16:00:00,2840144.99999999905,284014.499999999905,758824260.8099997461809
2024-08-18 20:00:00,2782409.50000000006,278240.950000000006,742001835.82200001600056
2024-08-19 00:00:00,2751259.5999999995,275125.95999999995,718362135.3387998694485
2024-08-19 04:00:00,2794375.79999999956,279437.579999999956,739095632.84519988362264
2024-08-19 08:00:00,2882073.39999999909,288207.339999999909,753434510.30139976210689
2024-08-19 12:00:00,2958967.09999999682,295896.709999999682,765990772.14409917679022
2024-08-19 16:00:00,2962567.29999999808,296256.729999999808,765613304.77169950381632
2024-08-19 20:00:00,2841691.69999999809,284169.169999999809,741113195.359999501872
2024-08-20 00:00:00,2699948.60000000039,269994.860000000039,711865747.92740010282701
2024-08-20 04:00:00,2690942.70000000085,269094.270000000085,716140580.7510002262105
2024-08-20 08:00:00,2810958.60000000129,281095.860000000129,751830230.99040034502856
2024-08-20 12:00:00,2817875.49999999907,281787.549999999907,744595422.1199997542568
2024-08-20 16:00:00,3046734.99999999958,304673.499999999958,784534262.49999989185
2024-08-20 20:00:00,3049717.09999999953,304971.709999999953,793362555.54529987773279
2024-08-21 00:00:00,3027956.79999999921,302795.679999999921,778914635.18879979677961
2024-08-21 04:00:00,3053900.99999999884,305390.099999999884,790868741.9699996995948
2024-08-21 08:00:00,3097573.19999999882,309757.319999999882,805328763.54839969321534
2024-08-21 12:00:00,3104328.39999999872,310432.839999999872,801171282.12879966965504
2024-08-21 16:00:00,2958111.09999999895,295811.109999999895,770002235.5521997266829
2024-08-21 20:00:00,2837597.2999999987,283759.72999999987,751665336.7834996556365
2024-08-22 00:00:00,2775574.69999999901,277557.469999999901,730178763.05309973955773
2024-08-22 04:00:00,2747549.59999999924,274754.959999999924,718816673.90159980116804
2024-08-22 08:00:00,2815826.50000000095,281582.650000000095,742516553.0910002505093
2024-08-22 12:00:00,2832322.40000000084,283232.240000000084,748194782.15120022189692
2024-08-22 16:00:00,2968762.1999999986,296876.21999999986,771578327.0177996361414
2024-08-22 20:00:00,2930009.89999999919,293000.989999999919,763756890.60329978885973
2024-08-23 00:00:00,2895012.89999999877,289501.289999999877,759092647.47029967748539
2024-08-23 04:00:00,2874918.59999999937,287491.859999999937,757681922.11139983396413
2024-08-23 08:00:00,3109490.99999999824,310949.099999999824,830047527.5399995301856
2024-08-23 12:00:00,3069154.40000000108,306915.440000000108,814400120.040000286578
2024-08-23 16:00:00,2905311.89999999783,290531.189999999783,775886785.39019942048414
2024-08-23 20:00:00,2854878.59999999883,285487.859999999883,785205810.1439996782032
2024-08-24 00:00:00,2832999.09999999823,283299.909999999823,782627333.37139951103042
2024-08-24 04:00:00,2866597.49999999825,286659.749999999825,787511665.19999951924
2024-08-24 08:00:00,2950179.29999999906,295017.929999999906,814219985.0069997405694
2024-08-24 12:00:00,2956609.09999999898,295660.909999999898,814791205.60529971890534
2024-08-24 16:00:00,2979088.09999999934,297908.809999999934,822672199.72689981774166
2024-08-24 20:00:00,2965808.59999999948,296580.859999999948,828466008.51539985474372
2024-08-25 00:00:00,2843540.99999999879,284354.099999999879,787205890.4399996650236
2024-08-25 04:00:00,2832679.19999999911,283267.919999999911,782975192.31359975399688
2024-08-25 08:00:00,2866587.79999999819,286658.779999999819,786580225.96879950334324
2024-08-25 12:00:00,2846841.99999999981,284684.199999999981,783211783.67199994772796
2024-08-25 16:00:00,2819656.19999999987,281965.619999999987,779152778.08979996407723
2024-08-25 20:00:00,2814876.49999999993,281487.649999999993,778665211.81249998063625
2024-08-26 00:00:00,2823263.59999999901,282326.359999999901,775313356.77759972813016
2024-08-26 04:00:00,2893414.69999999972,289341.469999999972,794164212.95309992314756
2024-08-26 08:00:00,2947763.69999999925,294776.369999999925,805774155.15869979498675
2024-08-26 12:00:00,2901078.40000000002,290107.840000000002,794347177.78240000547622
2024-08-26 16:00:00,2960108.89999999925,296010.889999999925,806037653.469999795775
2024-08-26 20:00:00,2956439.89999999869,295643.989999999869,792337718.95959964891476
2024-08-27 00:00:00,2951537.39999999935,295153.739999999935,791289467.7155998257389
2024-08-27 04:00:00,3032876.09999999727,303287.609999999727,814390923.24809926693767
2024-08-27 08:00:00,3015973.29999999901,301597.329999999901,810554888.26819973393354
2024-08-27 12:00:00,3186233.99999999838,318623.399999999838,837147934.92599957436282
2024-08-27 16:00:00,3195921.99999999832,319592.199999999832,824384883.97799956664568
2024-08-27 20:00:00,3196391.09999999892,319639.109999999892,824745617.18639972133408
2024-08-28 00:00:00,2909230.7000000009,290923.07000000009,715065632.2144002212128
2024-08-28 04:00:00,2986471.80000000024,298647.180000000024,740645006.40000005952
2024-08-28 08:00:00,3009957.5,300995.75,733400224.535
2024-08-28 12:00:00,2991421.00000000012,299142.100000000012,754687655.56400003027408
2024-08-28 16:00:00,2926415.39999999916,292641.539999999916,730960038.6119997901848
2024-08-28 20:00:00,2786711.59999999865,278671.159999999865,698723346.3143996615091
2024-08-29 00:00:00,2773079.19999999891,277307.919999999891,701001144.80959972446108
2024-08-29 04:00:00,2820544.00000000017,282054.400000000017,711716329.15200004289661
2024-08-29 08:00:00,2910219.5999999993,291021.95999999993,741506492.7623998216442
2024-08-29 12:00:00,2893405.70000000022,289340.570000000022,739519776.05160005622936
2024-08-29 16:00:00,2980458.49999999872,298045.849999999872,767843601.52099967023872
2024-08-29 20:00:00,2951100.99999999942,295110.099999999942,746330491.79899985331858
2024-08-30 00:00:00,2948037.2999999983,294803.72999999983,745263829.43999957024
2024-08-30 04:00:00,3042722.29999999824,304272.229999999824,765853202.909999557008
2024-08-30 08:00:00,3068882.89999999862,306888.289999999862,772502272.47089965262502
2024-08-30 12:00:00,3093454.7999999988,309345.47999999988,777233611.9547996984988
2024-08-30 16:00:00,3156516.59999999901,315651.659999999901,773005663.20719975755692
2024-08-30 20:00:00,2969131.79999999787,296913.179999999787,744631533.25379946581517
2024-08-31 00:00:00,2911659.7999999975,291165.97999999975,735205746.13919936874
2024-08-31 04:00:00,2966065.49999999692,296606.549999999692,748596373.34849922264804
2024-08-31 08:00:00,2999586.099999997,299958.6099999997,756501613.592199243394
2024-08-31 12:00:00,3027581.69999999772,302758.169999999772,764494655.0669994242772
2024-08-31 16:00:00,3036835.29999999665,303683.529999999665,764915038.52869915620535
2024-08-31 20:00:00,2963946.09999999829,296394.609999999829,740903534.50919957254788
2024-09-01 00:00:00,3006986.59999999805,300698.659999999805,755986501.1059995097505
2024-09-01 04:00:00,2948271.89999999851,294827.189999999851,733745272.56869962917923
2024-09-01 08:00:00,2974819.79999999842,297481.979999999842,739195123.18319960739528
2024-09-01 12:00:00,3005382.19999999924,300538.219999999924,744640542.31179981169556
2024-09-01 16:00:00,3025419.39999999827,302541.939999999827,750095257.26139957107937
2024-09-01 20:00:00,2973532.79999999918,297353.279999999918,743838150.51839979487454
2024-09-02 00:00:00,2927648.59999999841,292764.859999999841,710311958.62919961423102
2024-09-02 04:00:00,2973353.99999999909,297335.399999999909,728593637.51399977701269
2024-09-02 08:00:00,3063419.09999999956,306341.909999999956,747798982.82459989259336
2024-09-02 12:00:00,3172884.89999999963,317288.489999999963,798329569.6889999069043
2024-09-02 16:00:00,3152637.1999999999,315263.71999999999,792446886.591999974864
2024-09-02 20:00:00,3117617.49999999905,311761.749999999905,787132948.78249976014495
2024-09-03 00:00:00,3100759.79999999878,310075.979999999878,786935628.12239969037864
2024-09-03 04:00:00,3071963.69999999827,307196.369999999827,773007441.72209956467491
2024-09-03 08:00:00,3158316.09999999678,315831.609999999678,796116739.3269991883346
2024-09-03 12:00:00,3197065.69999999843,319706.569999999843,802035083.89619960614038
2024-09-03 16:00:00,3306279.09999999731,330627.909999999731,807839703.89849934273885
2024-09-03 20:00:00,3297819.89999999804,329781.989999999804,807091953.2264995203194
2024-09-04 00:00:00,3265377.3999999977,326537.73999999977,791037675.149999442825
2024-09-04 04:00:00,3143515.299999998,314351.5299999998,746144791.60799952528
2024-09-04 08:00:00,3218521.79999999876,321852.179999999876,772799269.3979997022636
2024-09-04 12:00:00,3269214.39999999708,326921.439999999708,784588571.49919929922044
2024-09-04 16:00:00,3116280.00000000074,311628.000000000074,765358368.000000181744
2024-09-04 20:00:00,2935254.49999999956,293525.449999999956,720000317.32299989207064
2024-09-05 00:00:00,2972853.39999999975,297285.339999999975,728542318.47099993873375
2024-09-05 04:00:00,3039597.39999999908,303959.739999999908,731032293.49219977873724
2024-09-05 08:00:00,3105043.19999999951,310504.319999999951,748989205.57439988180367
2024-09-05 12:00:00,3176165.09999999737,317616.509999999737,759014526.27719937150364
2024-09-05 16:00:00,3226526.29999999836,322652.629999999836,765173938.57129961107236
2024-09-05 20:00:00,3164438.1999999986,316443.81999999986,748060532.7271996690456
2024-09-06 00:00:00,3182394.09999999865,318239.409999999865,753883703.1371996801958
2024-09-06 04:00:00,3181099.89999999718,318109.989999999718,761179946.27179932522476
2024-09-06 08:00:00,3281457.39999999958,328145.739999999958,769367220.54659990152722
2024-09-06 12:00:00,3283491.59999999812,328349.159999999812,779146288.74719955389104
2024-09-06 16:00:00,3310168.59999999793,331016.859999999793,758035229.73719952596586
2024-09-06 20:00:00,3324384.69999999979,332438.469999999979,740077846.29869995324959
2024-09-07 00:00:00,3215984.49999999884,321598.449999999884,715443991.7924997419406
2024-09-07 04:00:00,3249598.49999999959,324959.849999999959,727169155.54199990825348
2024-09-07 08:00:00,3266655.29999999994,326665.529999999994,748064063.69999998626
2024-09-07 12:00:00,3334111.09999999957,333411.109999999957,761834384.01669990174629
2024-09-07 16:00:00,3326865.1999999995,332686.51999999995,765541624.3067998849455
2024-09-07 20:00:00,3254387.89999999964,325438.789999999964,745583522.27789991752364
2024-09-08 00:00:00,3188098.79999999828,318809.879999999828,725126695.86239960878944
2024-09-08 04:00:00,3273843.99999999937,327384.399999999937,748482584.49999985596625
2024-09-08 08:00:00,3285596.6999999982,328559.66999999982,753985301.9093995869324
2024-09-08 12:00:00,3305125.29999999785,330512.529999999785,758658461.361999506489
2024-09-08 16:00:00,3323241.69999999935,332324.169999999935,745449638.6937998541959
2024-09-08 20:00:00,3329559.49999999915,332955.949999999915,756379361.17449980690465
2024-09-09 00:00:00,3257374.69999999891,325737.469999999891,748036555.60679974968804
2024-09-09 04:00:00,3284527.79999999807,328452.779999999807,756909577.92659955523729
2024-09-09 08:00:00,3371294.79999999755,337129.479999999755,780181671.32119943302345
2024-09-09 12:00:00,3303703.49999999984,330370.349999999984,764942812.09349996295344
2024-09-09 16:00:00,3307243.7999999987,330724.37999999987,758354310.5837997019087
2024-09-09 20:00:00,2939411.59999999902,293941.159999999902,691064485.39479976959906
2024-09-10 00:00:00,2916100.59999999857,291610.059999999857,687791487.5159996627202
2024-09-10 04:00:00,3216842.99999999556,321684.299999999556,753362112.69899896018308
2024-09-10 08:00:00,3302588.99999999651,330258.899999999651,780163994.29199917556428
2024-09-10 12:00:00,3296565.19999999662,329656.519999999662,775348838.47479920502738
2024-09-10 16:00:00,3320510.89999999791,332051.089999999791,772397322.49259951383674
2024-09-10 20:00:00,3127278.49999999659,312727.849999999659,745499412.50099918710374
2024-09-11 00:00:00,3102050.29999999823,310205.029999999823,741048796.1669995771647
2024-09-11 04:00:00,2986934.79999999811,298693.479999999811,701362160.3879995562091
2024-09-11 08:00:00,3078708.19999999742,307870.819999999742,721101192.02039939570724
2024-09-11 12:00:00,3268086.99999999755,326808.699999999755,760349853.33299942998545
2024-09-11 16:00:00,3246823.79999999894,324682.379999999894,755000172.3329997535129
2024-09-11 20:00:00,2999418.59999999804,299941.859999999804,702799771.00319954074848
2024-09-12 00:00:00,3030989.89999999901,303098.989999999901,709351659.26669976830733
2024-09-12 04:00:00,3068533.49999999781,306853.349999999781,727055258.95649948110359
2024-09-12 08:00:00,3138624.19999999816,313862.419999999816,740178606.46179956607464
2024-09-12 12:00:00,3104392.59999999836,310439.259999999836,729010723.04319961487552
2024-09-12 16:00:00,3344615.69999999738,334461.569999999738,776736827.0894993915443
2024-09-12 20:00:00,3092651.79999999881,309265.179999999881,730119422.24759971906242
2024-09-13 00:00:00,3027889.59999999777,302788.959999999777,715187523.519999473274
2024-09-13 04:00:00,3084452.59999999864,308445.259999999864,726851255.189999679516
2024-09-13 08:00:00,3113562.49999999975,311356.249999999975,731406966.8749999412725
2024-09-13 12:00:00,3095609.79999999844,309560.979999999844,728288639.5969996329866
2024-09-13 16:00:00,3095969.49999999814,309596.949999999814,745295833.70449955224034
2024-09-13 20:00:00,3168469.09999999787,316846.909999999787,766604761.80679948465076
2024-09-14 00:00:00,3156032.19999999764,315603.219999999764,769743629.45119942440544
2024-09-14 04:00:00,3279224.099999998,327922.4099999998,797936879.477099513338
2024-09-14 08:00:00,3388193.19999999681,338819.319999999681,820281573.719999227701
2024-09-14 12:00:00,3417483.19999999638,341748.319999999638,826162893.66719912487948
